,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,init,num_topics
14,Europarl_IT,RF,LCB,14,2.5614495277404785,0.4762310171720886,0.4703945651119054,0.0082679642593978,1.0,nndsvda,20
13,Europarl_IT,RF,LCB,13,2.7155070304870605,0.4678350129808121,0.4675992083973413,0.0060817830669284,0.75,nndsvda,20
4,Europarl_IT,RF,LCB,4,2.600971937179565,0.466911580189388,0.4659460914491499,0.0047341740955849,0.5,nndsvda,20
11,Europarl_IT,RF,LCB,11,2.726215362548828,0.4654954929227238,0.4641907740488859,0.0055384515886336,0.5,nndsvdar,20
23,Europarl_IT,RF,LCB,23,2.4594500064849854,0.455286646442281,0.460893129226397,0.010707200756938,0.25,nndsvda,20
24,Europarl_IT,RF,LCB,24,2.409153699874878,0.4552092075083017,0.4553788956589968,0.0023856522789684,0.25,nndsvda,20
5,Europarl_IT,RF,LCB,5,2.460734605789185,0.4535914187235145,0.4524912539776941,0.0034582785424129,0.0,nndsvdar,20
27,Europarl_IT,RF,LCB,27,2.512117862701416,0.4504611771105621,0.4523852470842436,0.006932344714096,0.0,nndsvdar,20
20,Europarl_IT,RF,LCB,20,2.450193405151367,0.4459093774091233,0.4469678628602554,0.0021747642107631,0.0,nndsvda,20
16,Europarl_IT,RF,LCB,16,6.648958444595337,0.3905612201172916,0.3889185863926997,0.0083501655209867,0.75,nndsvdar,50
19,Europarl_IT,RF,LCB,19,17.673554182052612,0.3891611174077011,0.3880394456077632,0.0022849487706953,1.0,nndsvdar,100
1,Europarl_IT,RF,LCB,1,16.85521364212036,0.3887664172760171,0.3886020915877687,0.0025695634318112,0.5,nndsvda,100
2,Europarl_IT,RF,LCB,2,16.9784677028656,0.3876907691705101,0.3894653792212253,0.0037835080340519,1.0,nndsvdar,100
3,Europarl_IT,RF,LCB,3,7.600774526596069,0.3876150691320489,0.3874895963985805,0.0047539034291081,0.75,nndsvdar,50
17,Europarl_IT,RF,LCB,17,9.63213300704956,0.3872596550583041,0.3891324389142103,0.0073166833326605,1.0,nndsvda,70
0,Europarl_IT,RF,LCB,0,17.58810567855835,0.3860525784553899,0.3843003947147575,0.0029316509702971,0.5,nndsvdar,100
22,Europarl_IT,RF,LCB,22,10.825193881988524,0.3852359833103769,0.3841111923177185,0.0039958623764047,0.75,nndsvda,70
26,Europarl_IT,RF,LCB,26,10.129674911499023,0.384953593239458,0.3842634820402739,0.0025878149155247,0.5,nndsvdar,70
25,Europarl_IT,RF,LCB,25,16.850825309753418,0.3849346916754656,0.384632311584729,0.0011481948841618,0.25,nndsvda,100
10,Europarl_IT,RF,LCB,10,10.400513172149658,0.3839335953457366,0.3846737196381044,0.0037862805245919,0.5,nndsvda,70
12,Europarl_IT,RF,LCB,12,18.859426259994507,0.3833286385369381,0.3858709327946211,0.004520975282471,0.5,nndsvda,100
7,Europarl_IT,RF,LCB,7,6.760384559631348,0.382852396845742,0.3837233694934972,0.002849433508638,0.5,nndsvda,50
18,Europarl_IT,RF,LCB,18,10.817283630371094,0.3824834984887903,0.3824836632169433,0.0068198385558539,0.5,nndsvdar,70
8,Europarl_IT,RF,LCB,8,18.355955362319943,0.3812486354825635,0.3807139617138757,0.0016545242037622,0.75,nndsvda,100
21,Europarl_IT,RF,LCB,21,8.299670219421387,0.3779941743476421,0.378816619167509,0.0059694609986141,0.25,nndsvda,50
6,Europarl_IT,RF,LCB,6,7.288901805877685,0.377181589559329,0.3774334548472652,0.0027303368270759,0.0,nndsvda,50
9,Europarl_IT,RF,LCB,9,10.65183711051941,0.3762520025629359,0.3775033891371047,0.0042985470318681,0.5,nndsvdar,70
28,Europarl_IT,RF,LCB,28,7.47476315498352,0.3750791073180265,0.3777895928951452,0.0061323213675763,0.25,nndsvdar,50
29,Europarl_IT,RF,LCB,29,26.33179521560669,0.3748120130226967,0.3738796621094692,0.0033944926236831,0.0,nndsvda,100
15,Europarl_IT,RF,LCB,15,27.84329319000244,0.3720895752075897,0.3708819005247708,0.0054598487576474,0.0,nndsvda,100
